timestamp,open,high,low,close,volume
2024-01-01 09:00:00,100.50,102.00,100.00,101.50,1000000
2024-01-01 10:00:00,101.50,103.00,101.00,102.50,1100000
2024-01-01 11:00:00,102.50,103.50,102.00,103.00,1050000
2024-01-01 12:00:00,103.00,104.00,102.50,103.80,1200000
2024-01-01 13:00:00,103.80,105.00,103.50,104.50,1300000
2024-01-01 14:00:00,104.50,105.50,104.00,105.00,1150000
2024-01-01 15:00:00,105.00,106.00,104.50,105.80,1250000
2024-01-02 09:00:00,105.80,106.50,105.00,106.00,1100000
2024-01-02 10:00:00,106.00,107.00,105.50,106.80,1200000
2024-01-02 11:00:00,106.80,107.50,106.50,107.20,1150000
2024-01-02 12:00:00,107.20,108.00,107.00,107.80,1300000
2024-01-02 13:00:00,107.80,108.50,107.50,108.20,1250000
2024-01-02 14:00:00,108.20,109.00,108.00,108.60,1200000
2024-01-02 15:00:00,108.60,109.50,108.20,109.00,1350000
2024-01-03 09:00:00,109.00,109.80,108.50,109.50,1200000
2024-01-03 10:00:00,109.50,110.00,109.00,109.80,1250000
2024-01-03 11:00:00,109.80,110.50,109.50,110.20,1150000
2024-01-03 12:00:00,110.20,111.00,110.00,110.50,1300000
2024-01-03 13:00:00,110.50,110.80,109.80,110.00,1100000
2024-01-03 14:00:00,110.00,110.50,109.50,110.20,1050000
2024-01-03 15:00:00,110.20,110.80,109.80,110.50,1150000
2024-01-04 09:00:00,110.50,111.00,110.00,110.80,1200000
2024-01-04 10:00:00,110.80,111.50,110.50,111.00,1250000
2024-01-04 11:00:00,111.00,111.80,110.80,111.50,1300000
2024-01-04 12:00:00,111.50,112.00,111.00,111.80,1350000
2024-01-04 13:00:00,111.80,112.50,111.50,112.00,1400000
2024-01-04 14:00:00,112.00,112.80,111.80,112.50,1300000
2024-01-04 15:00:00,112.50,113.00,112.00,112.80,1350000
2024-01-05 09:00:00,112.80,113.50,112.50,113.00,1250000
2024-01-05 10:00:00,113.00,113.80,112.80,113.50,1300000
